Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00059448,0.09999822,0.00005434,3.17015388
0.00059448,0.09999822,0.00005434,0.00119188,0.19999641,0.00011801,3.17015388
0.00119188,0.19999641,0.00011801,0.00179239,0.29999458,0.00019200,3.17015388
0.00179239,0.29999458,0.00019200,0.00239621,0.39999272,0.00027747,3.17015388
0.00239621,0.39999272,0.00027747,0.00300354,0.49999083,0.00037576,3.17015388
0.00300354,0.49999083,0.00037576,0.00361461,0.59998890,0.00048842,3.17015388
0.00361461,0.59998890,0.00048842,0.00422960,0.69998693,0.00061726,3.17015388
0.00422960,0.69998693,0.00061726,0.00484869,0.79998490,0.00076441,3.17015388
0.00484869,0.79998490,0.00076441,0.00547203,0.89998282,0.00093240,3.17015388
0.00547203,0.89998282,0.00093240,0.00609969,0.99998066,0.00112424,3.17015388
0.00609969,0.99998066,0.00112424,0.00673161,1.09997843,0.00134360,3.17015388
0.00673161,1.09997843,0.00134360,0.00736755,1.19997609,0.00159498,3.17015388
0.00736755,1.19997609,0.00159498,0.00800694,1.29997363,0.00188401,3.17015388
0.00800694,1.29997363,0.00188401,0.00864865,1.39997101,0.00221791,3.17015388
0.00864865,1.39997101,0.00221791,0.00929065,1.49996820,0.00260625,3.17015388
0.00929065,1.49996820,0.00260625,0.00992937,1.59996512,0.00306232,3.17015388
0.00992937,1.59996512,0.00306232,0.01055846,1.69996166,0.00360557,3.17015388
0.01055846,1.69996166,0.00360557,0.01116655,1.79995763,0.00426672,3.17015388
0.01116655,1.79995763,0.00426672,0.01173281,1.89995257,0.00509772,3.17015388
0.01173281,1.89995257,0.00509772,0.01222042,1.99994543,0.00618898,3.17015388
0.01222042,1.99994543,0.00618898,0.01258754,2.09993392,0.00766077,3.17015388
0.01258754,2.09993392,0.00766077,0.01294526,2.19991824,0.00939512,2.91295063
0.01258754,2.09993392,0.00766077,-0.03346128,2.10009542,0.09642720,2.32059579
0.01294526,2.19991824,0.00939512,0.01612417,2.29968607,0.00337224,2.91295063
-0.03346128,2.10009542,0.09642720,-0.07373245,2.16398541,0.16197339,2.32059579
0.01612417,2.29968607,0.00337224,0.02160891,2.39896186,-0.00731587,2.23606798
0.01612417,2.29968607,0.00337224,0.09859813,2.29536278,-0.05301352,2.03054318
-0.07373245,2.16398541,0.16197339,-0.08143889,2.24616240,0.21843180,2.32059579
0.02160891,2.39896186,-0.00731587,0.01704322,2.49740433,-0.02429329,2.23606798
0.01612417,2.29968607,0.00337224,-0.07128821,2.30351695,-0.04504678,2.34034732
0.09859813,2.29536278,-0.05301352,0.19568278,2.31924478,-0.05095888,2.03054318
-0.08143889,2.24616240,0.21843180,-0.05330820,2.31244893,0.28782028,2.32059579
0.01704322,2.49740433,-0.02429329,0.01483254,2.59594416,-0.04117571,2.18993870
0.01704322,2.49740433,-0.02429329,0.01216658,2.47451491,-0.12151619,1.18920712
-0.07128821,2.30351695,-0.04504678,-0.17075364,2.30846373,-0.05411087,2.34034732
0.19568278,2.31924478,-0.05095888,0.27571997,2.37818304,-0.06192834,2.03054318
-0.05330820,2.31244893,0.28782028,-0.02145428,2.38426564,0.34968859,2.32059579
0.01483254,2.59594416,-0.04117571,0.01027110,2.69544688,-0.05003016,2.18993870
0.01216658,2.47451491,-0.12151619,0.00823880,2.46890400,-0.22128137,1.18920712
-0.17075364,2.30846373,-0.05411087,-0.25897403,2.32763512,-0.09711807,2.34034732
0.27571997,2.37818304,-0.06192834,0.35869131,2.42593058,-0.03301590,2.00000000
-0.02145428,2.38426564,0.34968859,0.00183411,2.46461851,0.40447060,2.32059579
0.01027110,2.69544688,-0.05003016,0.00453040,2.79431095,-0.06392042,2.16573677
0.27571997,2.37818304,-0.06192834,0.34381807,2.31360690,-0.09646195,1.00000000
0.01027110,2.69544688,-0.05003016,0.00300985,2.73298402,0.04237243,1.00000000
0.00823880,2.46890400,-0.22128137,0.05595139,2.47977277,-0.30849019,1.18920712
-0.25897403,2.32763512,-0.09711807,-0.32295436,2.36373057,-0.16496817,2.34034732
0.35869131,2.42593058,-0.03301590,0.39444048,2.50747285,0.01251271,2.00000000
0.00183411,2.46461851,0.40447060,0.04294142,2.53303443,0.46471552,1.86120972
0.00453040,2.79431095,-0.06392042,-0.01062483,2.88757043,-0.09667693,2.16573677
0.00183411,2.46461851,0.40447060,-0.08654090,2.46512300,0.45126379,2.03054318
0.05595139,2.47977277,-0.30849019,0.09660564,2.49224285,-0.39899836,1.18920712
-0.32295436,2.36373057,-0.16496817,-0.36116238,2.44705662,-0.20492962,2.34034732
0.39444048,2.50747285,0.01251271,0.43745526,2.59765441,0.01663768,1.96798967
0.04294142,2.53303443,0.46471552,0.09680778,2.59744861,0.51902231,1.86120972
-0.01062483,2.88757043,-0.09667693,-0.01720203,2.98544845,-0.11608399,2.16573677
0.39444048,2.50747285,0.01251271,0.36227933,2.46034671,0.09463937,1.00000000
-0.08654090,2.46512300,0.45126379,-0.17667535,2.50773667,0.44352709,2.03054318
0.09660564,2.49224285,-0.39899836,0.14254949,2.56152233,-0.45458179,1.00000000
-0.36116238,2.44705662,-0.20492962,-0.38726264,2.54029470,-0.22993833,1.82116029
0.43745526,2.59765441,0.01663768,0.48121997,2.68755700,0.01516341,1.96798967
0.09680778,2.59744861,0.51902231,0.16258541,2.66813963,0.54502393,1.82116029
-0.01720203,2.98544845,-0.11608399,-0.02516487,3.08320908,-0.13556351,2.11474253
0.09660564,2.49224285,-0.39899836,0.00496736,2.51149926,-0.43409275,1.00000000
-0.36116238,2.44705662,-0.20492962,-0.32066093,2.36402958,-0.16663938,1.00000000
0.09680778,2.59744861,0.51902231,0.16953046,2.53015221,0.53253549,1.00000000
-0.01720203,2.98544845,-0.11608399,0.02002035,2.98472109,-0.20889544,1.18920712
-0.17667535,2.50773667,0.44352709,-0.22516315,2.58746776,0.47946990,2.03054318
0.14254949,2.56152233,-0.45458179,0.24012998,2.58336156,-0.45353568,1.00000000
-0.38726264,2.54029470,-0.22993833,-0.43301431,2.62810697,-0.24393087,1.82116029
0.48121997,2.68755700,0.01516341,0.51026171,2.78302030,0.02174652,1.96798967
0.16258541,2.66813963,0.54502393,0.17725908,2.76569728,0.56136983,1.82116029
-0.02516487,3.08320908,-0.13556351,-0.06066177,3.17626717,-0.14451691,2.11474253
-0.36116238,2.44705662,-0.20492962,-0.32066093,2.36402958,-0.16663938,1.00000000
0.16953046,2.53015221,0.53253549,0.25128223,2.47256317,0.53292415,1.00000000
0.02002035,2.98472109,-0.20889544,0.08046539,3.01360477,-0.28313916,1.18920712
-0.22516315,2.58746776,0.47946990,-0.19415084,2.67053295,0.52571284,1.00000000
0.24012998,2.58336156,-0.45353568,0.27284140,2.49904388,-0.41086844,1.00000000
-0.43301431,2.62810697,-0.24393087,-0.46561005,2.71488261,-0.28144762,1.82116029
0.51026171,2.78302030,0.02174652,0.53814485,2.87881534,0.02851703,1.96798967
0.17725908,2.76569728,0.56136983,0.19227760,2.86401649,0.57175134,1.77827941
-0.06066177,3.17626717,-0.14451691,-0.10060337,3.26783250,-0.14904003,2.00000000
-0.36116238,2.44705662,-0.20492962,-0.32066093,2.36402958,-0.16663938,1.00000000
-0.22516315,2.58746776,0.47946990,-0.29131415,2.53668564,0.42428637,2.00000000
0.17725908,2.76569728,0.56136983,0.10835065,2.76134695,0.48903240,1.00000000
-0.06066177,3.17626717,-0.14451691,-0.08465001,3.18322825,-0.24134721,1.31607401
0.08046539,3.01360477,-0.28313916,0.15191562,3.05334031,-0.34072345,1.18920712
-0.46561005,2.71488261,-0.28144762,-0.49802921,2.80186455,-0.31863821,1.82116029
0.53814485,2.87881534,0.02851703,0.56416442,2.97505510,0.03632032,1.96798967
0.19227760,2.86401649,0.57175134,0.21043472,2.95698490,0.60380121,1.73205081
-0.10060337,3.26783250,-0.14904003,-0.14589092,3.35202620,-0.11970646,2.00000000
-0.36116238,2.44705662,-0.20492962,-0.32066093,2.36402958,-0.16663938,1.00000000
-0.06066177,3.17626717,-0.14451691,-0.07157079,3.18411964,-0.04542437,1.00000000
0.19227760,2.86401649,0.57175134,0.27779218,2.85305734,0.62241843,1.00000000
-0.29131415,2.53668564,0.42428637,-0.22367758,2.59393738,0.47062785,1.00000000
-0.08465001,3.18322825,-0.24134721,-0.09666903,3.25262696,-0.31233567,1.31607401
