Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.000000,0.000000,0.000000,0.004190,0.099784,0.005064,4.101537
0.004190,0.099784,0.005064,0.008333,0.199570,0.010112,4.101537
0.008333,0.199570,0.010112,0.012427,0.299361,0.015121,4.101537
0.012427,0.299361,0.015121,0.016459,0.399154,0.020124,3.793085
0.012427,0.299361,0.015121,0.023709,0.317273,-0.082612,2.952592
0.016459,0.399154,0.020124,0.020009,0.498395,0.031897,3.746421
0.016459,0.399154,0.020124,-0.048244,0.404774,0.096162,1.778279
0.023709,0.317273,-0.082612,0.023767,0.362270,-0.171917,2.952592
0.020009,0.498395,0.031897,0.029085,0.597432,0.042353,3.746421
-0.048244,0.404774,0.096162,-0.115548,0.429994,0.165691,1.778279
0.023767,0.362270,-0.171917,0.027236,0.438509,-0.236535,2.952592
0.029085,0.597432,0.042353,0.037838,0.696282,0.054688,3.732076
0.029085,0.597432,0.042353,0.112093,0.605950,-0.012757,1.316074
-0.115548,0.429994,0.165691,-0.190128,0.473336,0.216280,1.778279
0.027236,0.438509,-0.236535,0.028863,0.516880,-0.298627,2.952592
0.037838,0.696282,0.054688,0.043050,0.794839,0.070791,3.732076
0.112093,0.605950,-0.012757,0.200513,0.643653,-0.040329,1.316074
-0.190128,0.473336,0.216280,-0.256231,0.535521,0.258273,1.732051
0.028863,0.516880,-0.298627,0.023324,0.601554,-0.351538,2.952592
0.043050,0.794839,0.070791,0.045931,0.892972,0.089806,3.539769
-0.190128,0.473336,0.216280,-0.225903,0.428408,0.298143,1.000000
0.043050,0.794839,0.070791,0.055715,0.840888,-0.017067,2.466326
0.200513,0.643653,-0.040329,0.288673,0.690764,-0.043218,1.316074
-0.256231,0.535521,0.258273,-0.314735,0.616350,0.264902,1.626577
0.023324,0.601554,-0.351538,0.024714,0.686936,-0.403577,2.952592
0.045931,0.892972,0.089806,0.049295,0.989807,0.114540,3.499636
-0.256231,0.535521,0.258273,-0.314149,0.499599,0.331451,1.189207
0.045931,0.892972,0.089806,0.094703,0.849765,0.165664,1.565085
0.055715,0.840888,-0.017067,0.090506,0.905421,-0.085075,2.466326
0.288673,0.690764,-0.043218,0.376574,0.738433,-0.044273,1.189207
-0.314735,0.616350,0.264902,-0.358727,0.704002,0.245362,1.565085
0.024714,0.686936,-0.403577,0.029699,0.772799,-0.454593,2.932972
0.049295,0.989807,0.114540,0.044405,1.087082,0.137201,3.482005
0.045931,0.892972,0.089806,-0.050193,0.917056,0.076381,1.000000
0.288673,0.690764,-0.043218,0.272037,0.624466,-0.116210,1.000000
-0.314735,0.616350,0.264902,-0.230427,0.663532,0.290709,1.000000
0.024714,0.686936,-0.403577,-0.074851,0.695394,-0.407472,1.189207
0.049295,0.989807,0.114540,0.031081,0.981008,0.212473,1.316074
-0.314149,0.499599,0.331451,-0.302360,0.574074,0.397136,1.000000
0.094703,0.849765,0.165664,0.176830,0.835662,0.220948,1.495349
0.090506,0.905421,-0.085075,0.153470,0.962437,-0.137845,2.466326
0.376574,0.738433,-0.044273,0.458734,0.794776,-0.035599,1.189207
-0.358727,0.704002,0.245362,-0.412103,0.785549,0.222974,1.565085
0.029699,0.772799,-0.454593,0.062941,0.856220,-0.498593,2.932972
0.044405,1.087082,0.137201,0.038650,1.186457,0.146770,3.439791
-0.314149,0.499599,0.331451,-0.366733,0.456627,0.258046,1.000000
0.094703,0.849765,0.165664,0.164486,0.842991,0.094358,1.000000
0.044405,1.087082,0.137201,0.133979,1.081499,0.181307,1.626577
-0.230427,0.663532,0.290709,-0.146119,0.710715,0.316515,1.000000
-0.074851,0.695394,-0.407472,-0.165280,0.700077,-0.449906,1.189207
0.031081,0.981008,0.212473,0.030047,1.020688,0.304258,1.316074
0.176830,0.835662,0.220948,0.248343,0.833883,0.290825,1.495349
0.153470,0.962437,-0.137845,0.221324,1.021092,-0.182066,2.466326
0.458734,0.794776,-0.035599,0.535860,0.826673,0.019484,1.000000
-0.412103,0.785549,0.222974,-0.458862,0.870454,0.198384,1.495349
0.062941,0.856220,-0.498593,0.085423,0.945972,-0.536527,2.545730
0.038650,1.186457,0.146770,0.021355,1.284851,0.142356,3.433632
0.458734,0.794776,-0.035599,0.398657,0.823851,0.038869,1.000000
-0.412103,0.785549,0.222974,-0.420080,0.759335,0.126801,1.000000
0.062941,0.856220,-0.498593,0.111350,0.942936,-0.486897,1.000000
0.038650,1.186457,0.146770,-0.053274,1.186784,0.186137,1.000000
0.133979,1.081499,0.181307,0.201941,1.124203,0.240951,1.626577
-0.165280,0.700077,-0.449906,-0.255172,0.704663,-0.493477,1.189207
0.030047,1.020688,0.304258,0.030458,1.051880,0.399268,1.316074
0.248343,0.833883,0.290825,0.313222,0.840624,0.366622,1.495349
0.221324,1.021092,-0.182066,0.298354,1.066833,-0.226498,2.466326
0.535860,0.826673,0.019484,0.620378,0.824279,0.072879,1.000000
-0.458862,0.870454,0.198384,-0.505886,0.957443,0.183495,1.414214
0.085423,0.945972,-0.536527,0.087851,1.039449,-0.571970,2.545730
0.021355,1.284851,0.142356,0.008567,1.383884,0.136984,3.433632
0.062941,0.856220,-0.498593,0.152022,0.841453,-0.541563,2.359611
-0.458862,0.870454,0.198384,-0.502559,0.826462,0.276839,1.000000
0.111350,0.942936,-0.486897,0.025320,0.966799,-0.441848,1.000000
-0.053274,1.186784,0.186137,-0.124563,1.211460,0.251780,1.000000
0.201941,1.124203,0.240951,0.257883,1.175516,0.306047,1.626577
-0.255172,0.704663,-0.493477,-0.343740,0.709015,-0.539703,1.189207
0.030458,1.051880,0.399268,0.035641,1.083700,0.493928,1.316074
0.313222,0.840624,0.366622,0.377850,0.846534,0.442703,1.495349
0.298354,1.066833,-0.226498,0.376237,1.120428,-0.259083,2.466326
0.620378,0.824279,0.072879,0.679193,0.875070,0.135815,1.000000
-0.505886,0.957443,0.183495,-0.539669,1.045348,0.149859,1.316074
0.087851,1.039449,-0.571970,0.085590,1.133348,-0.606290,2.545730
0.008567,1.383884,0.136984,-0.005774,1.482625,0.130305,3.045262
-0.505886,0.957443,0.183495,-0.446952,0.988284,0.258165,1.000000
0.008567,1.383884,0.136984,-0.088204,1.374492,0.113595,2.698168
0.152022,0.841453,-0.541563,0.233579,0.879650,-0.585031,2.359611
0.025320,0.966799,-0.441848,-0.052336,1.019368,-0.407121,1.000000
-0.124563,1.211460,0.251780,-0.175197,1.255682,0.325812,1.000000
0.257883,1.175516,0.306047,0.312660,1.228473,0.370816,1.565085
-0.343740,0.709015,-0.539703,-0.429091,0.712835,-0.591671,1.000000
0.035641,1.083700,0.493928,0.040382,1.124790,0.584973,1.316074
0.377850,0.846534,0.442703,0.433689,0.856514,0.525058,1.189207
0.376237,1.120428,-0.259083,0.454092,1.181126,-0.275030,1.495349
0.679193,0.875070,0.135815,0.738643,0.925494,0.198451,1.000000
-0.539669,1.045348,0.149859,-0.598761,1.090578,0.083058,1.189207
0.085590,1.133348,-0.606290,0.071032,1.229485,-0.629653,1.732051
-0.005774,1.482625,0.130305,-0.005312,1.582589,0.132952,2.771488
0.257883,1.175516,0.306047,0.269315,1.099548,0.370064,1.000000
-0.343740,0.709015,-0.539703,-0.317844,0.702207,-0.636052,1.000000
0.377850,0.846534,0.442703,0.375791,0.749650,0.418019,1.316074
0.376237,1.120428,-0.259083,0.343792,1.104493,-0.352322,2.378414
-0.539669,1.045348,0.149859,-0.502881,1.133983,0.177973,1.000000
0.085590,1.133348,-0.606290,-0.009015,1.139721,-0.638058,2.396782
-0.005774,1.482625,0.130305,0.072315,1.516199,0.182983,2.258101
-0.446952,0.988284,0.258165,-0.430065,1.035802,0.344519,1.000000
-0.088204,1.374492,0.113595,-0.149736,1.411718,0.044110,2.698168
0.233579,0.879650,-0.585031,0.299440,0.934387,-0.636665,2.359611
-0.052336,1.019368,-0.407121,-0.105161,1.103038,-0.392668,1.000000
-0.175197,1.255682,0.325812,-0.206420,1.274266,0.418977,1.000000
0.312660,1.228473,0.370816,0.375463,1.284291,0.425039,1.565085
-0.429091,0.712835,-0.591671,-0.458101,0.719832,-0.496227,1.000000
0.040382,1.124790,0.584973,0.045536,1.168929,0.674557,1.189207
0.433689,0.856514,0.525058,0.454584,0.918776,0.600469,1.000000
0.454092,1.181126,-0.275030,0.534667,1.238696,-0.261124,1.414214
0.738643,0.925494,0.198451,0.732432,1.003353,0.260896,1.000000
-0.598761,1.090578,0.083058,-0.667159,1.102244,0.011047,1.189207
0.071032,1.229485,-0.629653,0.074333,1.328146,-0.645626,1.732051
-0.005312,1.582589,0.132952,-0.012004,1.682341,0.130786,2.378414
-0.005774,1.482625,0.130305,0.009771,1.500642,0.033177,1.000000
0.040382,1.124790,0.584973,0.047354,1.032684,0.623286,1.000000
0.433689,0.856514,0.525058,0.503964,0.886772,0.460670,1.000000
