Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00287634,0.09987714,0.00403531,4.74517234
0.00000000,0.00000000,0.00000000,-0.06512224,-0.07581200,-0.00341091,2.59002006
0.00287634,0.09987714,0.00403531,0.00709108,0.19970986,0.00799316,4.52701906
0.00000000,0.00000000,0.00000000,0.09411589,0.01314616,0.03113485,1.00000000
0.00287634,0.09987714,0.00403531,-0.08596059,0.13112048,0.03767833,3.00000000
-0.06512224,-0.07581200,-0.00341091,-0.11899603,-0.15849455,-0.01957290,2.59002006
0.00709108,0.19970986,0.00799316,0.02060720,0.29878748,0.00896217,4.27180145
0.00287634,0.09987714,0.00403531,-0.00977083,0.10375075,-0.09508605,1.56508458
0.00709108,0.19970986,0.00799316,0.09643740,0.20193386,-0.03686538,3.05407581
0.09411589,0.01314616,0.03113485,0.18482510,0.03693658,0.06586026,1.00000000
-0.08596059,0.13112048,0.03767833,-0.16852572,0.17153485,0.07704427,2.61833050
-0.11899603,-0.15849455,-0.01957290,-0.16524297,-0.24658339,-0.02965146,2.59002006
0.02060720,0.29878748,0.00896217,0.02998614,0.39820817,0.01421211,4.27180145
-0.08596059,0.13112048,0.03767833,-0.04041594,0.13175027,0.12670242,2.41473640
-0.00977083,0.10375075,-0.09508605,-0.03503802,0.13580712,-0.18637657,1.56508458
0.09643740,0.20193386,-0.03686538,0.18166340,0.22749556,-0.08250668,3.05407581
0.18482510,0.03693658,0.06586026,0.26930908,0.07394120,0.10450109,1.00000000
-0.16852572,0.17153485,0.07704427,-0.25448782,0.22073830,0.09081154,2.60429069
-0.16524297,-0.24658339,-0.02965146,-0.12160682,-0.33198966,-0.00133793,1.00000000
0.02998614,0.39820817,0.01421211,0.03725596,0.49767580,0.02151549,4.15483772
-0.16852572,0.17153485,0.07704427,-0.19602779,0.19781564,-0.01543792,1.00000000
-0.16524297,-0.24658339,-0.02965146,-0.24663811,-0.19729028,-0.06039263,2.57550958
0.02998614,0.39820817,0.01421211,0.11386559,0.37272551,0.06232522,2.43229928
-0.04041594,0.13175027,0.12670242,0.00512870,0.13238006,0.21572651,2.41473640
-0.03503802,0.13580712,-0.18637657,-0.04080738,0.17672990,-0.27743721,1.56508458
0.18166340,0.22749556,-0.08250668,0.26451640,0.26764133,-0.12154125,3.05407581
0.26930908,0.07394120,0.10450109,0.35379307,0.11094583,0.14314193,1.00000000
-0.25448782,0.22073830,0.09081154,-0.32637347,0.28259147,0.12253912,2.51486686
0.03725596,0.49767580,0.02151549,0.04357399,0.59727332,0.02787302,4.15483772
-0.25448782,0.22073830,0.09081154,-0.32768886,0.16173516,0.05674927,1.56508458
-0.24663811,-0.19729028,-0.06039263,-0.32943045,-0.14768695,-0.08656397,1.00000000
0.11386559,0.37272551,0.06232522,0.18649020,0.37140744,0.13105607,2.43229928
0.00512870,0.13238006,0.21572651,-0.03479587,0.19087628,0.28632552,2.41473640
-0.04080738,0.17672990,-0.27743721,-0.03443686,0.23822709,-0.35603436,1.56508458
0.26451640,0.26764133,-0.12154125,0.33885870,0.31618965,-0.16754432,3.03637028
0.35379307,0.11094583,0.14314193,0.43827705,0.14795045,0.18178276,1.00000000
-0.32637347,0.28259147,0.12253912,-0.38329926,0.35981628,0.15074875,2.51486686
0.04357399,0.59727332,0.02787302,0.05063082,0.69681964,0.03425513,4.15483772
-0.24663811,-0.19729028,-0.06039263,-0.32943045,-0.14768695,-0.08656397,1.00000000
0.26451640,0.26764133,-0.12154125,0.18453227,0.32396909,-0.14227101,1.00000000
-0.32768886,0.16173516,0.05674927,-0.40815799,0.17167022,-0.00178289,1.56508458
0.18649020,0.37140744,0.13105607,0.23123264,0.42122280,0.20532951,2.43229928
-0.03479587,0.19087628,0.28632552,-0.07806342,0.24442207,0.35885667,2.41473640
-0.03443686,0.23822709,-0.35603436,-0.00550654,0.29802759,-0.43078017,1.56508458
0.33885870,0.31618965,-0.16754432,0.40904657,0.37767775,-0.20350092,1.73205081
-0.38329926,0.35981628,0.15074875,-0.44563244,0.43422714,0.17478204,2.49899940
0.05063082,0.69681964,0.03425513,0.05810198,0.79646824,0.03804157,4.03470205
-0.24663811,-0.19729028,-0.06039263,-0.32943045,-0.14768695,-0.08656397,1.00000000
0.26451640,0.26764133,-0.12154125,0.25534980,0.33594496,-0.04908031,1.00000000
0.33885870,0.31618965,-0.16754432,0.36114418,0.23807541,-0.22586689,2.95259172
-0.38329926,0.35981628,0.15074875,-0.45017817,0.28613892,0.16069150,1.00000000
0.05063082,0.69681964,0.03425513,0.14981906,0.69445297,0.04674875,2.39678173
-0.40815799,0.17167022,-0.00178289,-0.47150235,0.18304891,-0.07832058,1.49534878
0.23123264,0.42122280,0.20532951,0.28250955,0.47321456,0.27364887,2.43229928
-0.07806342,0.24442207,0.35885667,-0.12326508,0.30159833,0.42732334,2.41473640
