Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.000000,0.000000,0.000000,0.005741,0.099776,0.003429,3.774627
0.005741,0.099776,0.003429,0.011431,0.199557,0.006808,3.774627
0.011431,0.199557,0.006808,0.017080,0.299341,0.010146,3.774627
0.017080,0.299341,0.010146,0.022723,0.399126,0.013489,3.774627
0.022723,0.399126,0.013489,0.028438,0.498902,0.016966,3.562103
0.022723,0.399126,0.013489,-0.058703,0.415579,-0.042180,2.545730
0.028438,0.498902,0.016966,0.041285,0.597681,0.025777,3.522737
0.028438,0.498902,0.016966,0.080069,0.420851,0.052211,1.000000
-0.058703,0.415579,-0.042180,-0.112399,0.451480,-0.118521,1.681793
0.041285,0.597681,0.025777,0.054137,0.696280,0.036415,3.216221
0.028438,0.498902,0.016966,0.090045,0.484209,-0.060420,1.565085
-0.058703,0.415579,-0.042180,-0.135863,0.427183,0.020364,2.414736
0.041285,0.597681,0.025777,0.000950,0.587596,0.116724,2.618330
-0.112399,0.451480,-0.118521,-0.122362,0.493256,-0.208828,1.681793
0.054137,0.696280,0.036415,0.068776,0.794620,0.047131,3.216221
0.090045,0.484209,-0.060420,0.145790,0.520906,-0.134889,1.565085
-0.135863,0.427183,0.020364,-0.218152,0.476871,0.047928,2.414736
0.000950,0.587596,0.116724,-0.023477,0.650118,0.190847,2.618330
-0.122362,0.493256,-0.208828,-0.125197,0.542987,-0.295539,1.626577
0.068776,0.794620,0.047131,0.085647,0.893136,0.050311,3.216221
-0.122362,0.493256,-0.208828,-0.216642,0.461174,-0.217879,1.000000
0.145790,0.520906,-0.134889,0.201499,0.566591,-0.204240,1.565085
-0.218152,0.476871,0.047928,-0.292400,0.542174,0.062853,2.396782
-0.023477,0.650118,0.190847,-0.033424,0.683004,0.284760,2.618330
-0.125197,0.542987,-0.295539,-0.113117,0.608712,-0.369932,1.565085
0.085647,0.893136,0.050311,0.103326,0.991506,0.053569,3.216221
-0.218152,0.476871,0.047928,-0.272413,0.450828,0.127787,1.000000
-0.125197,0.542987,-0.295539,-0.063288,0.503852,-0.363625,1.000000
-0.216642,0.461174,-0.217879,-0.310923,0.429091,-0.226929,1.000000
0.201499,0.566591,-0.204240,0.258021,0.618957,-0.267982,1.495349
-0.292400,0.542174,0.062853,-0.354562,0.620361,0.067613,2.396782
-0.033424,0.683004,0.284760,-0.014725,0.736873,0.366909,2.604291
-0.113117,0.608712,-0.369932,-0.118065,0.688794,-0.429618,1.565085
0.103326,0.991506,0.053569,0.118026,1.090394,0.055839,3.154342
0.201499,0.566591,-0.204240,0.215123,0.468488,-0.218028,1.000000
-0.033424,0.683004,0.284760,-0.081250,0.609325,0.332553,1.000000
0.103326,0.991506,0.053569,0.197815,0.984427,0.085534,1.681793
-0.063288,0.503852,-0.363625,0.007215,0.470855,-0.426399,1.000000
-0.310923,0.429091,-0.226929,-0.378640,0.458641,-0.159541,1.000000
0.258021,0.618957,-0.267982,0.296887,0.694805,-0.320294,1.495349
-0.354562,0.620361,0.067613,-0.411716,0.701199,0.081707,2.396782
-0.014725,0.736873,0.366909,0.004214,0.816075,0.424947,2.604291
-0.118065,0.688794,-0.429618,-0.122687,0.770178,-0.487543,1.565085
0.118026,1.090394,0.055839,0.115470,1.190322,0.053043,3.154342
-0.081250,0.609325,0.332553,-0.151747,0.564187,0.387258,1.000000
0.197815,0.984427,0.085534,0.295367,1.001045,0.099935,1.681793
-0.378640,0.458641,-0.159541,-0.446357,0.488192,-0.092152,1.000000
0.296887,0.694805,-0.320294,0.345254,0.773384,-0.358841,1.495349
-0.411716,0.701199,0.081707,-0.468990,0.782007,0.095477,2.396782
0.004214,0.816075,0.424947,0.032420,0.895145,0.479282,1.778279
-0.122687,0.770178,-0.487543,-0.128816,0.841062,-0.557813,1.565085
0.115470,1.190322,0.053043,0.110796,1.290178,0.050411,3.154342
0.004214,0.816075,0.424947,0.101364,0.798459,0.440807,2.396782
-0.151747,0.564187,0.387258,-0.220000,0.515232,0.441526,1.000000
0.295367,1.001045,0.099935,0.387188,1.036652,0.117285,1.681793
0.345254,0.773384,-0.358841,0.390674,0.855119,-0.394286,1.495349
-0.468990,0.782007,0.095477,-0.518099,0.868505,0.105790,2.396782
0.032420,0.895145,0.479282,0.055534,0.975194,0.534580,1.778279
-0.128816,0.841062,-0.557813,-0.134735,0.909830,-0.630172,1.565085
0.110796,1.290178,0.050411,0.105178,1.390013,0.051657,3.121986
0.004214,0.816075,0.424947,-0.085731,0.841480,0.460506,1.316074
0.110796,1.290178,0.050411,0.180610,1.298413,-0.020711,1.414214
0.101364,0.798459,0.440807,0.200580,0.810468,0.444272,2.396782
-0.220000,0.515232,0.441526,-0.295993,0.571227,0.474536,1.000000
0.387188,1.036652,0.117285,0.474243,1.081402,0.137753,1.565085
0.390674,0.855119,-0.394286,0.441811,0.938199,-0.416259,1.414214
-0.518099,0.868505,0.105790,-0.546463,0.964243,0.111251,2.396782
0.055534,0.975194,0.534580,0.096593,1.053921,0.580583,1.732051
-0.134735,0.909830,-0.630172,-0.138235,0.979690,-0.701639,1.495349
0.105178,1.390013,0.051657,0.092787,1.488700,0.062019,2.817313
0.387188,1.036652,0.117285,0.427011,1.008691,0.029922,1.189207
0.390674,0.855119,-0.394286,0.470016,0.797903,-0.373522,1.000000
0.055534,0.975194,0.534580,0.120698,0.967426,0.459125,1.000000
-0.134735,0.909830,-0.630172,-0.174721,0.828500,-0.672441,1.000000
0.105178,1.390013,0.051657,0.018693,1.358546,0.090776,2.378414
-0.085731,0.841480,0.460506,-0.169381,0.881071,0.498391,1.316074
0.180610,1.298413,-0.020711,0.232287,1.340490,-0.095270,1.414214
0.200580,0.810468,0.444272,0.300491,0.806716,0.442350,2.396782
0.474243,1.081402,0.137753,0.548960,1.129964,0.183131,1.565085
0.441811,0.938199,-0.416259,0.456775,1.033643,-0.442076,1.414214
-0.546463,0.964243,0.111251,-0.575686,1.059728,0.116589,2.378414
0.096593,1.053921,0.580583,0.132447,1.134343,0.627983,1.732051
-0.138235,0.979690,-0.701639,-0.107533,1.068328,-0.736288,1.414214
0.092787,1.488700,0.062019,0.087992,1.588344,0.068949,2.817313
-0.546463,0.964243,0.111251,-0.581335,0.972874,0.017927,1.000000
-0.138235,0.979690,-0.701639,-0.048821,0.936311,-0.712752,1.000000
0.427011,1.008691,0.029922,0.467587,1.035796,-0.057364,1.189207
0.470016,0.797903,-0.373522,0.535507,0.766644,-0.442325,1.000000
-0.174721,0.828500,-0.672441,-0.255589,0.869544,-0.714580,1.000000
0.018693,1.358546,0.090776,-0.059483,1.394262,0.141892,2.378414
-0.169381,0.881071,0.498391,-0.238576,0.952109,0.511264,1.316074
0.232287,1.340490,-0.095270,0.295135,1.371486,-0.166609,1.414214
0.300491,0.806716,0.442350,0.400404,0.809681,0.439412,2.396782
0.548960,1.129964,0.183131,0.609652,1.190791,0.234282,1.495349
0.456775,1.033643,-0.442076,0.469933,1.128076,-0.472230,1.316074
-0.575686,1.059728,0.116589,-0.618095,1.141723,0.155041,2.340347
0.132447,1.134343,0.627983,0.170017,1.213411,0.676323,1.681793
-0.107533,1.068328,-0.736288,-0.107411,1.164086,-0.765104,1.414214
0.087992,1.588344,0.068949,0.088487,1.688287,0.072270,2.817313
0.548960,1.129964,0.183131,0.593127,1.062787,0.242600,1.000000
0.456775,1.033643,-0.442076,0.463123,1.036520,-0.342319,1.000000
-0.575686,1.059728,0.116589,-0.492492,1.107390,0.088180,1.189207
0.132447,1.134343,0.627983,0.203507,1.164078,0.564216,1.000000
0.467587,1.035796,-0.057364,0.506807,1.060437,-0.145990,1.189207
-0.059483,1.394262,0.141892,-0.113004,1.442709,0.211090,2.378414
-0.238576,0.952109,0.511264,-0.308815,1.022179,0.523778,1.316074
0.295135,1.371486,-0.166609,0.347863,1.441833,-0.214265,1.414214
0.400404,0.809681,0.439412,0.498734,0.827153,0.434318,1.000000
0.609652,1.190791,0.234282,0.644593,1.282400,0.253955,1.495349
0.469933,1.128076,-0.472230,0.483243,1.212993,-0.523338,1.316074
-0.618095,1.141723,0.155041,-0.694902,1.192945,0.193472,2.320596
0.170017,1.213411,0.676323,0.194053,1.287475,0.739067,1.565085
-0.107411,1.164086,-0.765104,-0.107012,1.260852,-0.790327,1.414214
0.088487,1.688287,0.072270,0.087547,1.788237,0.069241,2.466326
-0.618095,1.141723,0.155041,-0.597248,1.127812,0.251849,1.000000
0.170017,1.213411,0.676323,0.230879,1.135098,0.689090,1.000000
0.088487,1.688287,0.072270,0.157578,1.679497,0.144028,2.258101
0.593127,1.062787,0.242600,0.634170,0.986137,0.291998,1.000000
-0.492492,1.107390,0.088180,-0.451346,1.167594,0.019751,1.189207
0.203507,1.164078,0.564216,0.274568,1.193812,0.500449,1.000000
0.506807,1.060437,-0.145990,0.604592,1.077817,-0.157657,1.000000
-0.113004,1.442709,0.211090,-0.179085,1.510473,0.243360,2.359611
-0.308815,1.022179,0.523778,-0.381479,1.089671,0.536616,1.189207
0.347863,1.441833,-0.214265,0.400685,1.511488,-0.262825,1.414214
0.644593,1.282400,0.253955,0.678060,1.375302,0.269738,1.495349
0.483243,1.212993,-0.523338,0.476211,1.300018,-0.572093,1.316074
-0.694902,1.192945,0.193472,-0.755850,1.255715,0.145045,2.320596
0.194053,1.287475,0.739067,0.178395,1.371468,0.791028,1.495349
-0.107012,1.260852,-0.790327,-0.105456,1.356727,-0.818710,1.316074
0.087547,1.788237,0.069241,0.074993,1.882081,0.037058,2.340347
0.170017,1.213411,0.676323,0.090995,1.264785,0.642913,1.000000
0.506807,1.060437,-0.145990,0.500427,0.961746,-0.131178,1.000000
-0.113004,1.442709,0.211090,-0.065304,1.433609,0.298508,1.000000
-0.308815,1.022179,0.523778,-0.309721,1.072525,0.437381,1.000000
0.194053,1.287475,0.739067,0.277667,1.268161,0.790406,1.000000
-0.107012,1.260852,-0.790327,-0.020978,1.253051,-0.840699,1.000000
0.087547,1.788237,0.069241,0.156284,1.781527,-0.003079,1.626577
-0.597248,1.127812,0.251849,-0.634701,1.079696,0.331109,1.000000
0.230879,1.135098,0.689090,0.305127,1.078407,0.724775,1.000000
0.157578,1.679497,0.144028,0.179701,1.736830,0.222917,2.258101
0.634170,0.986137,0.291998,0.678437,0.934067,0.365000,1.000000
-0.451346,1.167594,0.019751,-0.406306,1.227309,-0.046623,1.189207
0.604592,1.077817,-0.157657,0.677742,1.126251,-0.205648,1.000000
-0.179085,1.510473,0.243360,-0.256185,1.571980,0.259866,2.340347
-0.381479,1.089671,0.536616,-0.413762,1.164100,0.595081,1.000000
0.400685,1.511488,-0.262825,0.447689,1.582888,-0.314715,1.316074
0.678060,1.375302,0.269738,0.713895,1.468597,0.266271,1.414214
0.476211,1.300018,-0.572093,0.474143,1.386377,-0.622470,1.189207
-0.755850,1.255715,0.145045,-0.832353,1.238761,0.082917,1.189207
0.178395,1.371468,0.791028,0.110161,1.442484,0.808374,1.316074
-0.105456,1.356727,-0.818710,-0.144068,1.448887,-0.814755,1.316074
0.074993,1.882081,0.037058,0.049139,1.976734,0.017761,2.279507
-0.179085,1.510473,0.243360,-0.253982,1.444259,0.245855,1.000000
-0.381479,1.089671,0.536616,-0.403269,1.023285,0.608158,1.000000
0.400685,1.511488,-0.262825,0.474853,1.452024,-0.231792,1.000000
0.678060,1.375302,0.269738,0.615553,1.358959,0.346065,1.000000
0.476211,1.300018,-0.572093,0.376265,1.296973,-0.573317,1.000000
-0.755850,1.255715,0.145045,-0.765449,1.328652,0.212780,2.279507
