Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,2.00000000,0.00000000,-0.00219985,2.09969771,0.00745169,2.93297209
-0.00219985,2.09969771,0.00745169,-0.00447520,2.19937290,0.01517692,2.93297209
-0.00447520,2.19937290,0.01517692,-0.00682203,2.29902366,0.02319049,2.93297209
-0.00682203,2.29902366,0.02319049,-0.00922603,2.39865062,0.03147840,2.93297209
-0.00922603,2.39865062,0.03147840,-0.01165360,2.49825947,0.03997452,2.93297209
-0.01165360,2.49825947,0.03997452,-0.01403594,2.59786341,0.04854076,2.93297209
-0.01403594,2.59786341,0.04854076,-0.01624315,2.69748260,0.05697552,2.92301279
-0.01403594,2.59786341,0.04854076,-0.01265506,2.58827163,0.14807010,1.00000000
-0.01624315,2.69748260,0.05697552,-0.01816111,2.79746385,0.05671048,2.92301279
-0.01265506,2.58827163,0.14807010,-0.01127417,2.57867985,0.24759945,1.00000000
-0.01816111,2.79746385,0.05671048,-0.01942955,2.89745571,0.05685208,2.92301279
-0.01127417,2.57867985,0.24759945,-0.00989328,2.56908807,0.34712880,1.00000000
-0.01942955,2.89745571,0.05685208,-0.01963962,2.99745333,0.05750955,2.51486686
-0.01942955,2.89745571,0.05685208,-0.10811166,2.90374388,0.01107062,2.39678173
-0.00989328,2.56908807,0.34712880,-0.00851239,2.55949629,0.44665814,1.00000000
-0.01963962,2.99745333,0.05750955,-0.00124906,3.09516528,0.06819422,2.51486686
-0.10811166,2.90374388,0.01107062,-0.19084160,2.93536299,-0.03536201,2.39678173
-0.00851239,2.55949629,0.44665814,-0.00713150,2.54990451,0.54618749,1.00000000
-0.00124906,3.09516528,0.06819422,0.02743822,3.19084707,0.07288823,2.51486686
-0.19084160,2.93536299,-0.03536201,-0.28127001,2.97719413,-0.04389766,2.39678173
0.02743822,3.19084707,0.07288823,0.05704247,3.28627322,0.07706419,2.49899940
0.02743822,3.19084707,0.07288823,0.08136946,3.15704193,0.15001561,1.00000000
-0.28127001,2.97719413,-0.04389766,-0.37200452,3.01709345,-0.05713752,2.39678173
0.05704247,3.28627322,0.07706419,0.08092332,3.38322691,0.07161553,2.49899940
0.08136946,3.15704193,0.15001561,0.13530070,3.12323679,0.22714300,1.00000000
-0.37200452,3.01709345,-0.05713752,-0.46263991,3.05372444,-0.07819453,2.39678173
0.08092332,3.38322691,0.07161553,0.10646796,3.47975980,0.06624235,2.49899940
0.13530070,3.12323679,0.22714300,0.18923194,3.08943165,0.30427039,1.00000000
-0.46263991,3.05372444,-0.07819453,-0.55084231,3.08600622,-0.11251977,2.39678173
0.10646796,3.47975980,0.06624235,0.13329948,3.57594243,0.06085981,2.49899940
-0.55084231,3.08600622,-0.11251977,-0.62049504,3.12622926,-0.17193866,1.00000000
0.13329948,3.57594243,0.06085981,0.16014229,3.67210891,0.05524990,2.48282380
-0.55084231,3.08600622,-0.11251977,-0.58204464,3.00805582,-0.05820450,2.37841423
0.13329948,3.57594243,0.06085981,0.22413771,3.53602570,0.07331251,1.00000000
-0.62049504,3.12622926,-0.17193866,-0.60493300,3.20447720,-0.23223030,1.00000000
0.16014229,3.67210891,0.05524990,0.15829969,3.77161952,0.04554198,2.48282380
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
0.22413771,3.53602570,0.07331251,0.32283942,3.52724856,0.08676374,1.00000000
0.15829969,3.77161952,0.04554198,0.15727490,3.87114670,0.03588323,2.48282380
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
0.32283942,3.52724856,0.08676374,0.42057887,3.51084423,0.10010154,1.00000000
0.15727490,3.87114670,0.03588323,0.15723432,3.97070736,0.02651985,2.48282380
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
0.42057887,3.51084423,0.10010154,0.50114563,3.56908268,0.11093111,1.00000000
0.15723432,3.97070736,0.02651985,0.15828246,4.07033692,0.01798457,2.48282380
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
0.15828246,4.07033692,0.01798457,0.16042659,4.17006751,0.01096935,2.48282380
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
0.16042659,4.17006751,0.01096935,0.16421578,4.26974105,0.00384009,2.46632571
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
0.16042659,4.17006751,0.01096935,0.12864794,4.17354608,0.10572175,1.00000000
0.16421578,4.26974105,0.00384009,0.20137430,4.35458812,-0.03384571,2.46632571
-0.58204464,3.00805582,-0.05820450,-0.55462263,3.09712032,-0.09447499,1.00000000
