Parent_x,Parent_y,Parent_z,Child_x,Child_y,Child_z,Thickness
0.00000000,0.00000000,0.00000000,0.00544314,0.09980579,0.00302916,3.16227766
0.00544314,0.09980579,0.00302916,0.01088937,0.19961167,0.00604990,3.16227766
0.01088937,0.19961167,0.00604990,0.01633904,0.29941766,0.00906099,3.16227766
0.01633904,0.29941766,0.00906099,0.02179251,0.39922377,0.01206098,3.16227766
0.02179251,0.39922377,0.01206098,0.02716569,0.49903684,0.01497301,3.16227766
0.02716569,0.49903684,0.01497301,0.03254492,0.59884998,0.01787156,3.16227766
0.03254492,0.59884998,0.01787156,0.03793085,0.69866321,0.02075421,3.16227766
0.03793085,0.69866321,0.02075421,0.04332417,0.79847659,0.02361799,3.16227766
0.04332417,0.79847659,0.02361799,0.04872565,0.89829018,0.02645922,3.16227766
0.04872565,0.89829018,0.02645922,0.05413607,0.99810405,0.02927324,3.16227766
0.05413607,0.99810405,0.02927324,0.05955625,1.09791831,0.03205417,3.16227766
0.05955625,1.09791831,0.03205417,0.06498693,1.19773314,0.03479441,3.16227766
0.06498693,1.19773314,0.03479441,0.07042865,1.29754873,0.03748401,3.16227766
0.07042865,1.29754873,0.03748401,0.07588153,1.39736542,0.04010977,3.16227766
0.07588153,1.39736542,0.04010977,0.08134479,1.49718366,0.04265383,3.16227766
0.08134479,1.49718366,0.04265383,0.08681598,1.59700412,0.04509164,3.16227766
0.08681598,1.59700412,0.04509164,0.09228961,1.69682777,0.04738898,3.16227766
0.09228961,1.69682777,0.04738898,0.09775521,1.79665601,0.04949821,3.16227766
0.09775521,1.79665601,0.04949821,0.10319589,1.89649061,0.05135619,3.16227766
0.10319589,1.89649061,0.05135619,0.10859404,1.99633295,0.05289472,3.16227766
0.10859404,1.99633295,0.05289472,0.11394844,2.09618230,0.05409349,3.16227766
0.11394844,2.09618230,0.05409349,0.12032851,2.19597253,0.05519152,3.13016916
0.11394844,2.09618230,0.05409349,0.03843131,2.09638559,-0.01145895,1.41421356
0.12032851,2.19597253,0.05519152,0.13281870,2.29502015,0.06098502,3.13016916
0.03843131,2.09638559,-0.01145895,-0.05438398,2.10928145,-0.04637339,1.41421356
0.13281870,2.29502015,0.06098502,0.14552266,2.39413154,0.06492721,2.72326982
0.13281870,2.29502015,0.06098502,0.17261665,2.29028874,-0.03063232,2.03054318
-0.05438398,2.10928145,-0.04637339,-0.14520666,2.10978629,-0.08821816,1.41421356
0.14552266,2.39413154,0.06492721,0.15179160,2.49318602,0.07713008,2.72326982
0.13281870,2.29502015,0.06098502,0.09420271,2.28866080,0.15300873,2.21336384
0.17261665,2.29028874,-0.03063232,0.23743570,2.31201585,-0.10361468,2.03054318
-0.14520666,2.10978629,-0.08821816,-0.07512277,2.12335905,-0.01818939,1.00000000
0.15179160,2.49318602,0.07713008,0.16149452,2.59197406,0.08924524,2.72326982
-0.14520666,2.10978629,-0.08821816,-0.07512277,2.12335905,-0.01818939,1.00000000
0.09420271,2.28866080,0.15300873,0.01812899,2.31926414,0.21024705,2.21336384
0.23743570,2.31201585,-0.10361468,0.30078424,2.35919097,-0.16494549,2.00000000
0.16149452,2.59197406,0.08924524,0.17131917,2.69049763,0.10326604,2.68534961
-0.14520666,2.10978629,-0.08821816,-0.07512277,2.12335905,-0.01818939,1.00000000
0.23743570,2.31201585,-0.10361468,0.16411651,2.31415231,-0.17158329,1.00000000
0.16149452,2.59197406,0.08924524,0.21786873,2.56469078,0.16720402,1.31607401
0.01812899,2.31926414,0.21024705,-0.05737882,2.34931589,0.26851765,2.21336384
0.30078424,2.35919097,-0.16494549,0.38278938,2.40299920,-0.20176936,1.96798967
0.17131917,2.69049763,0.10326604,0.17036019,2.79049294,0.10313181,2.68534961
-0.14520666,2.10978629,-0.08821816,-0.07326030,2.07490318,-0.14827554,1.00000000
0.30078424,2.35919097,-0.16494549,0.36110826,2.28718043,-0.19923097,1.00000000
0.16411651,2.31415231,-0.17158329,0.09548762,2.34659050,-0.23668197,1.00000000
0.21786873,2.56469078,0.16720402,0.29085298,2.57810993,0.23423555,1.31607401
-0.05737882,2.34931589,0.26851765,-0.15141146,2.36221952,0.30000351,2.18993870
0.38278938,2.40299920,-0.20176936,0.41948585,2.49342669,-0.22359222,1.89882892
0.17036019,2.79049294,0.10313181,0.16363843,2.89026391,0.10388737,2.49899940
-0.05737882,2.34931589,0.26851765,-0.03508290,2.30433870,0.35500432,1.00000000
0.38278938,2.40299920,-0.20176936,0.47204377,2.37553947,-0.23754108,1.00000000
0.17036019,2.79049294,0.10313181,0.23496204,2.81430134,0.17565601,1.89882892
0.36110826,2.28718043,-0.19923097,0.33630757,2.26862025,-0.29431223,1.00000000
0.09548762,2.34659050,-0.23668197,0.04031455,2.41002406,-0.29083099,1.00000000
0.29085298,2.57810993,0.23423555,0.36332062,2.58772664,0.30247014,1.31607401
-0.15141146,2.36221952,0.30000351,-0.24142589,2.39903900,0.27672845,2.18993870
0.41948585,2.49342669,-0.22359222,0.42861971,2.59252074,-0.23343818,1.86120972
0.16363843,2.89026391,0.10388737,0.14325722,2.98800676,0.09832485,2.08779763
0.38278938,2.40299920,-0.20176936,0.37709063,2.40548315,-0.30157595,1.00000000
0.41948585,2.49342669,-0.22359222,0.33206313,2.52358783,-0.18554525,1.00000000
0.16363843,2.89026391,0.10388737,0.10148292,2.88652098,0.02563979,2.11474253
0.47204377,2.37553947,-0.23754108,0.48627491,2.37041285,-0.13869174,1.00000000
0.23496204,2.81430134,0.17565601,0.32043541,2.84849458,0.21470889,1.89882892
0.04031455,2.41002406,-0.29083099,-0.01485853,2.47345762,-0.34498000,1.00000000
0.36332062,2.58772664,0.30247014,0.43513179,2.59028682,0.37201582,1.18920712
-0.24142589,2.39903900,0.27672845,-0.30387200,2.47655447,0.28631149,1.49534878
0.42861971,2.59252074,-0.23343818,0.48703005,2.65875416,-0.28035690,1.82116029
0.14325722,2.98800676,0.09832485,0.13147310,3.08662305,0.10998514,1.62657656
0.36332062,2.58772664,0.30247014,0.32549163,2.51751410,0.36279563,1.00000000
-0.24142589,2.39903900,0.27672845,-0.28053515,2.41178040,0.18557954,2.05976714
0.42861971,2.59252074,-0.23343818,0.49846889,2.54255429,-0.28466752,1.00000000
0.14325722,2.98800676,0.09832485,0.08010623,2.98887724,0.17585674,1.86120972
0.10148292,2.88652098,0.02563979,0.03159847,2.91032260,-0.04181128,2.11474253
